Time [s],Packet ID,MOSI,MISO
8.344800540000000,0,0x01,0x00
8.344802200000000,0,0x02,0x00
8.344803880000001,0,0xFF,0x02
8.344811640000000,1,0x02,0x00
8.344813320000000,1,0x02,0x00
8.344814980000001,1,0xFF,0x02
8.344824160000000,2,0x83,0x00
8.344825840000000,2,0x00,0x00
8.344827499999999,2,0x00,0x00
8.344833840000000,3,0x84,0x00
8.344835500000000,3,0x00,0x00
8.344837160000001,3,0x00,0x00
8.344843480000000,4,0x81,0x00
8.344845140000000,4,0x00,0x00
8.344846820000001,4,0x00,0x00
8.344853120000000,5,0x82,0x00
8.344854800000000,5,0x00,0x00
8.344856460000001,5,0x00,0x00
8.344862300000001,6,0x00,0x00
8.344863960000000,6,0x00,0x00
8.344865620000000,6,0xFF,0x01
8.344867960000000,6,0xFF,0x01
8.344870240000001,6,0xFF,0x00
8.344872499999999,6,0xFF,0x00
8.344879160000000,7,0x83,0x00
8.344880840000000,7,0x00,0x00
8.344882500000001,7,0x12,0x00
8.344888820000000,8,0x84,0x00
8.344890480000000,8,0x00,0x00
8.344892140000001,8,0x12,0x00
8.344898460000000,9,0x81,0x00
8.344900120000000,9,0x00,0x00
8.344901800000001,9,0x3F,0x00
8.344908060000000,10,0x82,0x00
8.344909740000000,10,0x00,0x00
8.344911400000001,10,0x3F,0x00
8.344922880000000,11,0x00,0x00
8.344924539999999,11,0x0D,0x00
8.344926220000000,11,0xFF,0x34
8.344933579999999,12,0x00,0x00
8.344935260000000,12,0x0E,0x00
8.344936920000000,12,0xFF,0x01
8.344945360000001,13,0x00,0x00
8.344947019999999,13,0x06,0x00
8.344948700000000,13,0xFF,0x09
8.344956500000000,14,0x80,0x00
8.344958180000001,14,0x06,0x00
8.344959840000000,14,0x09,0x06
8.344967000000000,15,0x00,0x00
8.344968679999999,15,0x07,0x00
8.344970340000000,15,0xFF,0x09
8.344978160000000,16,0x80,0x00
8.344979820000001,16,0x07,0x00
8.344981480000000,16,0x08,0x07
8.345006400000001,17,0x83,0x00
8.345008060000000,17,0x00,0x00
8.345009740000000,17,0x12,0x00
